Affiliate_id,Affiliate_name,City,State,Country,Latitude,Longitude
12549,CrossFit Oracle,Chula Vista,CA,United States,32.6163,-117.0866
14996,CrossFit Collaboration,Chula Vista,CA,United States,32.598,-117.0808
10627,Big Bang CrossFit,City of Industry,CA,United States,34.0295,-117.972
11633,La Puente CrossFit,City of Industry,CA,United States,34.0221,-117.9585
5474,ROEIC CrossFit,Claremont,CA,United States,34.11,-117.7014
716,CrossFit FTF,Clovis,CA,United States,36.8367,-119.7083
18833,Certus CrossFit,Clovis,CA,United States,36.8099,-119.7016
14543,CrossFit Greenshed,Coalinga,CA,United States,36.125,-120.3722
8937,Balance Point CrossFit,Colton,CA,United States,34.0543,-117.3122
6010,Compton CrossFit,Compton,CA,United States,,
385,Concord CrossFit,Concord,CA,United States,37.9363,-122.0258
4477,CrossFit Walnut Creek,Concord,CA,United States,37.9498,-122.0273
11230,Contra Costa CrossFit,Concord,CA,United States,37.9601,-122.0354
13730,CrossFit OverWatch,Concord,CA,United States,37.9977,-122.0486
14483,CrossFit Endzone,Concord,CA,United States,37.9548,-122.0315
16125,CoCo CrossFit,Concord,CA,United States,37.9649,-122.0533
653,CrossFit Proper,Corona,CA,United States,33.8847,-117.5615
1901,CrossFit CrownTown,Corona,CA,United States,33.852,-117.537
9707,Temescal Valley CrossFit,Corona,CA,United States,33.8758,-117.5419
17158,FCR CrossFit,Corona,CA,United States,33.8863,-117.6145
17932,CrossFit Corona,Corona,CA,United States,33.7992,-117.5004
19055,CrossFit School of Sweat,Corona,CA,United States,33.7212,-117.4197
348,CrossFit Coronado,Coronado,CA,United States,32.6972,-117.1717
942,CrossFit Marin,Corte Madera,CA,United States,37.9359,-122.5205
1206,CrossFit Corte Madera,Corte Madera,CA,United States,37.9265,-122.5302
918,CrossFit Costa Mesa,Costa Mesa,CA,United States,33.6776,-117.889
1025,CrossFit Balboa,Costa Mesa,CA,United States,33.6342,-117.9379
3324,CrossFit Vibe,Costa Mesa,CA,United States,33.6688,-117.8782
3652,South Coast CrossFit,Costa Mesa,CA,United States,33.6849,-117.8719
4242,CrossFit Newport Mesa,Costa Mesa,CA,United States,,
11838,CrossFit Chalk,Costa Mesa,CA,United States,33.6398,-117.9187
13779,Orange Coast CrossFit,Costa Mesa,CA,United States,33.6851,-117.8673
19260,CrossFit Upgrade,Costa Mesa,CA,United States,33.6442,-117.9314
21039,CrossFit Shamba,Costa Mesa,CA,United States,33.6336,-117.9365
15978,Shield CrossFit,Covina,CA,United States,34.0954,-117.8695
20156,Covina Valley CrossFit,Covina,CA,United States,,
13345,CrossFit Pelican Bay,Crescent City,CA,United States,,
15677,Del Norte CrossFit,Crescent City,CA,United States,41.7929,-124.1862
920,CrossFit Culver City,Culver City,CA,United States,34.0256,-118.3905
1130,Paradiso CrossFit,Culver City,CA,United States,33.9945,-118.3951
7268,SPRY CrossFit,Culver City,CA,United States,33.9853,-118.4006
6145,CrossFit Virtue,Cypress,CA,United States,33.8327,-118.041
8822,CrossFit Infinitas Edge,Daly City,CA,United States,37.6502,-122.4544
12287,CrossFit Dana Point,Dana Point,CA,United States,33.4677,-117.6967
4928,CrossFit Danville,Danville,CA,United States,37.7833,-121.9677
